Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Cup,Bra,Bust,Waist,Hip,Weight,Height
Cecelia Taylor,Cecilia Taylor,American,Caucasian,"May 9, 2002",2020,Unknown,Unknown,81,60 cm,Unknown,46 kg,157 cm
Elana Bunnz,"Elena Bunnz, E Bunnz",American,Caucasian,"March 22, 1994",2022,D,32D,81,68 cm,93 cm,61 kg,162 cm
Aidra Fox,"Morgan Teresa Gonia, Neon Lolita",American,Caucasian,"September 25, 1995",2013,C,34C,86,63 cm,88 cm,56 kg,167 cm
Gina Gerson,"Gina Gershon, Doris Ivy",Unknown,Caucasian,"May 17, 1991",2012,A,34A,86,55 cm,78 cm,40 kg,167 cm
Autumn Falls,Unknown,American,Latin,"August 4, 2000",2018,G,32G,81,60 cm,88 cm,55 kg,160 cm
Laney Grey,Delaney Marie Dysthe,American,Caucasian,"October 29, 1998",2018,B,34B,86,66 cm,96 cm,53 kg,157 cm
Octokuro,"Marina Dyagileva, Octokuro Suicide",Unknown,Caucasian,"July 12, 1994",2016,E,36E,91,55 cm,88 cm,53 kg,167 cm
Katrina Colt,Unknown,American,Caucasian,"December 16, 1988",2021,B,36B,91,66 cm,91 cm,61 kg,172 cm
Valerica Steele,"Valerie Steele, Val Steele",American,Caucasian,"June 12, 1999",2020,DD,32DD,81,58 cm,68 cm,47 kg,157 cm
Selina Bentz,Unknown,American,Caucasian,"July 20, 2002",2020,B,36B,91,55 cm,81 cm,54 kg,167 cm
Lilly Mays,"Monica I, Lilli Mays",Latvian,Caucasian,2004,2022,C,36C,91,63 cm,88 cm,60 kg,177 cm
Keisha Grey,Unknown,American,Latin,"June 9, 1994",2013,DD,32DD,81,63 cm,86 cm,51 kg,154 cm
Rebel Rhyder,Unknown,Unknown,Caucasian,"January 24, 1994",2019,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,157 cm
Ava Addams,"Alexia Roy, Ava Spice, Ava Adams",Unknown,Caucasian,"September 16, 1979",2008,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,157 cm
Venus Vixen,Unknown,American,Caucasian,"June 17, 2003",2022,B,32B,81,60 cm,86 cm,44 kg,154 cm
Violet Starr,Kuleana,American,Latin,"December 23, 1996",2016,C,36C,91,66 cm,96 cm,56 kg,165 cm
Penelope Kay,Unknown,American,Caucasian,"January 29, 2001",2020,C,34C,86,63 cm,88 cm,49 kg,157 cm
Adria Rae,Aspen Reign,American,Caucasian,"August 27, 1996",2015,C,34C,86,63 cm,86 cm,48 kg,162 cm
Alexis Texas,Thea Alexis Samper,American,Caucasian,"May 25, 1985",2007,C,34C,86,68 cm,101 cm,59 kg,170 cm
Serene Siren,Bella Bends,Unknown,Caucasian,"May 30, 1989",Unknown,D,34D,86,63 cm,88 cm,51 kg,167 cm
Gigi Dior,Georgina Dior,American,Caucasian,"February 4, 1982",2020,DD,32DD,81,60 cm,86 cm,53 kg,170 cm
Anita Rover,Unknown,French,Caucasian,"April 1, 1997",2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Julia Ann,"Julia Ann Tavella, Julie Ann",American,Caucasian,"October 8, 1969",1992,E,34E,86,60 cm,96 cm,56 kg,172 cm
Pristine Edge,"Jane Doux, Jane Douxxx",American,Caucasian,"October 13, 1987",2014,D,32D,81,60 cm,81 cm,46 kg,160 cm
Penny Barber,"Penney Play, Penny Play",American,Caucasian,"May 24, 1985",2005,D,34D,86,66 cm,96 cm,63 kg,167 cm
Sophia Sterling,Unknown,American,Caucasian,"September 2, 2004",2023,B,34B,86,63 cm,86 cm,62 kg,175 cm
Andi Avalon,Unknown,American,Unknown,"August 20, 1988",2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ohana Petite,"Andrea Galán López, Andy Bloom",Spanish,Latin,"July 18, 2001",2020,A,30A,76,58 cm,86 cm,44 kg,157 cm
Little Caprice,"Marketa, Caprice S, Marketa Stroblova, Lola, Lolashut, Caprice A",Czech,Caucasian,"October 26, 1988",2008,D,32D,81,63 cm,86 cm,48 kg,165 cm
Matty Mila Perez,"Matty Matty, Euphory Euphory, Marfa Pushkina, Matty Perez, Metty Metty",Latvian,Caucasian,"December 30, 2002",2020,A,34A,86,58 cm,91 cm,52 kg,167 cm
Charlotte Mae,Unknown,American,Caucasian,"October 21, 1997",2024,A,32A,81,58 cm,83 cm,50 kg,162 cm
Julia James,Unknown,Unknown,Caucasian,"January 1, 1999",2019,C,30C,76,66 cm,86 cm,Unknown,154 cm
Stacy Cruz,"Stacey Cruz, Little Pia",Czech,Caucasian,"March 24, 1999",2017,D,32D,81,60 cm,88 cm,57 kg,177 cm
Lola Aiko,Unknown,American,Latin,"February 11, 2000",2023,A,30A,76,66 cm,88 cm,Unknown,160 cm
Kendra Lust,Unknown,Unknown,Caucasian,"September 18, 1978",2012,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,160 cm
Aviana Violet,Unknown,American,Caucasian,"January 15, 1993",2023,DDD,14DDD,35,Unknown,Unknown,Unknown,165 cm
Eva Elfie,"Tiny Teen, Lady Jay, Tieny Mieny",Russian,Caucasian,"May 27, 2000",2018,C,34C,86,60 cm,88 cm,45 kg,162 cm
Mochi Mona,Unknown,American,Asian,"January 1, 2000",2023,B,32B,81,60 cm,86 cm,47 kg,149 cm
Nova Vixen,Unknown,Unknown,Caucasian,Unknown,2022,C,32C,81,Unknown,Unknown,52 kg,157 cm
Sophie Dee,"Sophie D, Kirsty Hill, Mary Beth",Unknown,Caucasian,"January 17, 1984",2005,Unknown,Unknown,Unknown,Unknown,Unknown,56 kg,162 cm
Khloe Kapri,"Natalie Craft, Chloe Capri, Khloe Capri",American,Caucasian,"June 27, 1997",2017,B,32B,81,60 cm,91 cm,48 kg,154 cm
Ella Reese,Unknown,American,Caucasian,"August 25, 1995",2019,D,34D,86,Unknown,Unknown,61 kg,172 cm
Madison Ivy,Ivy Madison,Unknown,Caucasian,"June 14, 1989",2008,Unknown,Unknown,Unknown,Unknown,Unknown,40 kg,149 cm
Amber Moore,Dixie Willow,American,Caucasian,"December 26, 2002",2021,D,32D,81,71 cm,86 cm,58 kg,175 cm
Crystal Rush,"Aurelly Rebel, Anna Kuznetsova, Kristall Rush",Russian,Caucasian,"October 5, 1988",2012,C,34C,86,60 cm,91 cm,44 kg,157 cm
Lisa Ann,"Zina Sunshine, Lisa Ann Corpora, Lee Ann Vision, Nailin Palin",American,Caucasian,"May 9, 1972",1994,DD,38DD,96,53 cm,86 cm,51 kg,157 cm
Marica Hase,"Marika Hase, Marcia Hase, Marica Hayes, Marika Maze, Marica Haze, Mari Hase",Japanese,Asian,"September 26, 1981",2010,C,32C,81,55 cm,88 cm,43 kg,152 cm
Cubbi Thompson,Unknown,German,Caucasian,"June 22, 1991",2023,F,34F,86,Unknown,Unknown,56 kg,147 cm
Shalina Devine,"Naza A., Shalina Levine, Chalina Devine, Shalina Divine",Romanian,Caucasian,"May 17, 1986",2009,D,34D,86,60 cm,91 cm,52 kg,162 cm
Kay Lovely,Unknown,American,Caucasian,"June 1, 2000",2020,D,36D,91,66 cm,96 cm,59 kg,177 cm
Dani Daniels,Kira Lee,American,Caucasian,"September 23, 1989",2011,C,34C,86,63 cm,96 cm,54 kg,170 cm
Alison Rey,Unknown,American,Caucasian,"October 23, 1995",2014,D,34D,86,66 cm,88 cm,51 kg,154 cm
Evie Christian,Sanguine Rose,American,Caucasian,"December 14, 2002",2023,A,34A,86,55 cm,86 cm,54 kg,157 cm
Nickey Huntsman,"Shanna Brooks, Charlotte Piper, Nicky Huntsman, Shanna Nicole Brooks",American,Caucasian,"October 3, 1992",2012,DD,34DD,86,60 cm,81 cm,49 kg,160 cm
Chloe Surreal,Chloe Bang,American,Caucasian,"November 22, 1999",2022,G,36G,91,66 cm,101 cm,64 kg,154 cm
Eva Lovia,Mia Marx,Unknown,Asian,"May 29, 1989",2013,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,157 cm
Violet Voss,Unknown,American,Caucasian,1998,2022,DD,34DD,86,66 cm,91 cm,60 kg,172 cm
Layla Jenner,Unknown,Unknown,Caucasian,"June 17, 2004",2023,A,32A,81,60 cm,91 cm,45 kg,162 cm
Rebecca Volpetti,"Catia A, Kristina Zaharia, Anna Italyanka",Italian,Caucasian,"November 28, 1997",2016,A,32A,81,55 cm,83 cm,44 kg,160 cm
Candy Alexa,Anita Olesya,Russian,Caucasian,"July 20, 1987",2008,DD,34DD,86,63 cm,91 cm,49 kg,165 cm
Kimmy Granger,Kimberly Granger,American,Caucasian,"May 18, 1995",2015,C,32C,81,60 cm,86 cm,44 kg,154 cm
Reya Lovenlight,Unknown,American,Caucasian,1974,2024,D,13D,33,Unknown,Unknown,60 kg,170 cm
Armani Black,Unknown,American,Latin,"November 28, 1992",2021,E,34E,86,66 cm,96 cm,56 kg,162 cm
Janice Griffith,Unknown,American,Caucasian,"July 3, 1995",2013,C,32C,81,58 cm,81 cm,38 kg,157 cm
Eva Notty,Unknown,American,Caucasian,"July 7, 1982",2001,J,34J,86,68 cm,109 cm,65 kg,172 cm
Krissy Lynn,Chrissy Hines,Unknown,Caucasian,"December 14, 1984",2007,Unknown,Unknown,Unknown,Unknown,Unknown,56 kg,157 cm
London River,Unknown,Unknown,Caucasian,"June 7, 1985",2015,DD,34DD,86,66 cm,88 cm,61 kg,167 cm
Kelly Collins,Unknown,Russian,Caucasian,"August 15, 1999",2022,C,34C,86,63 cm,86 cm,43 kg,160 cm
Mia River,Unknown,American,Caucasian,"February 17, 2005",2025,A,30A,76,55 cm,76 cm,40 kg,154 cm
Simon Kitty,"Simone, Simonn, Kitty Simonn, Kimberly Simon, Simon Kay",Latvian,Caucasian,"January 10, 2001",2021,E,36E,91,60 cm,83 cm,56 kg,177 cm
Elly Clutch,Unknown,American,Caucasian,"February 2, 1999",2021,C,34C,86,66 cm,88 cm,58 kg,177 cm
Jia Lissa,Unknown,Russian,Caucasian,"September 1, 1996",2017,A,32A,81,60 cm,88 cm,49 kg,165 cm
Olivia Sparkle,Lea Sparkle,Czech,Caucasian,"December 9, 2002",2021,A,34A,86,60 cm,86 cm,57 kg,172 cm
Maddy May,Maddie May,American,Caucasian,"December 22, 1993",2020,DD,34DD,86,60 cm,91 cm,51 kg,154 cm
Lilly Bella,Unknown,Czech,Caucasian,"November 11, 2002",2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,157 cm
Bridgette B,"Bridgett B, Bridget B, Spanish Doll",Spanish,Caucasian,"October 15, 1983",2007,F,40F,101,71 cm,96 cm,59 kg,172 cm
Natalie Brooks,"Nasty Nat, Natalie Young",Unknown,Latin,"November 18, 1997",2018,B,34B,86,66 cm,88 cm,51 kg,157 cm
Vina Sky,"Kelly Nguyen, Vina Skyy",American,Asian,"March 14, 1999",2018,A,32A,81,55 cm,76 cm,42 kg,149 cm
Braylin Bailey,Unknown,American,Caucasian,"May 18, 2000",2021,Unknown,Unknown,81,Unknown,Unknown,49 kg,160 cm
Violet Gems,Unknown,American,Latin,"November 9, 2001",2021,C,34C,86,Unknown,Unknown,Unknown,147 cm
Angel Windell,Angel Wendell,Unknown,Caucasian,"June 28, 1998",2023,B,34B,86,63 cm,81 cm,47 kg,167 cm
Raylene,"Alexis Fontaine, Alexis Fontayne, Alexis Fountaine",American,Latin,"February 12, 1977",1996,D,35D,88,60 cm,91 cm,54 kg,167 cm
Maria Kazi,Unknown,American,Caucasian,"September 28, 2003",2021,B,34B,86,66 cm,91 cm,49 kg,160 cm
Vanessa Cage,Venessa Cage,American,Caucasian,"November 19, 1991",2010,D,36D,91,66 cm,91 cm,56 kg,170 cm
Chloe Rose,Unknown,American,Caucasian,"February 26, 2004",2022,B,34B,86,71 cm,96 cm,54 kg,165 cm
Amirah Adara,"Amirah Adera, Amira Adarah, Amira Adara, Amirah Andrah, Amirah Abada",Hungarian,Caucasian,"February 18, 1992",2011,A,32A,81,58 cm,86 cm,46 kg,160 cm
Kelly Caprice,Lillian Stone,American,Caucasian,"September 18, 1992",2019,G,34G,86,60 cm,91 cm,57 kg,167 cm
Jadilica,Leo Ahsoka,Unknown,Caucasian,"January 1, 1999",2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,162 cm
Jillian Janson,"Anna Lynn, Jillian Jensen, Jillian Brookes, Annalynn Grace, Anna Grace",American,Caucasian,"May 23, 1995",2013,C,34C,86,63 cm,86 cm,51 kg,167 cm
August Skye,Unknown,American,Black,"August 26, 1993",2022,E,36E,91,Unknown,Unknown,63 kg,172 cm
Adira Allure,Unknown,American,Caucasian,"March 16, 1995",2019,C,34C,86,71 cm,96 cm,56 kg,170 cm
Nina Blond,Nina Blonde,Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kali Roses,Kali Rose,American,Caucasian,"January 16, 1996",2016,DD,34DD,86,63 cm,76 cm,76 kg,162 cm
Ella Knox,Unknown,"American, Mexican",Latin,"May 12, 1993",2017,DD,34DD,86,68 cm,91 cm,59 kg,157 cm
Melena Maria Rya,"Maria Ryabushkina, Melena Tara, Melena Rya, Maria Rya, Melena A, Melena Suka, Marta Nubiles, Sexy Suka, Melena Maria",Russian,Caucasian,"August 26, 1990",2009,A,35A,88,60 cm,86 cm,49 kg,167 cm
Andie Anderson,Unknown,American,Caucasian,"June 16, 1983",2022,HH,36HH,91,73 cm,101 cm,60 kg,149 cm
Explicit Kait,Unknown,American,Caucasian,"June 18, 2001",2022,A,32A,81,Unknown,Unknown,43 kg,157 cm
Aderes Quin,Unknown,Armenian,Caucasian,"March 30, 1990",2023,DD,36DD,91,71 cm,91 cm,56 kg,157 cm
Skylar Vox,"Dylan Voxe, Dylann Vox",American,Caucasian,"January 9, 2000",2019,DD,34DD,86,60 cm,86 cm,51 kg,154 cm
Roxie Sinner,Unknown,Syrian,Caucasian,"December 20, 2000",2018,DD,34DD,86,60 cm,88 cm,67 kg,167 cm
Lasirena69,"Maria Antonella Alonso Brigati, Antonella Alonso, Antonella La Sirena, Maria Antonella",Venezuelan,Latin,"June 9, 1990",2019,D,36D,91,73 cm,91 cm,56 kg,157 cm
Gizelle Blanco,Giselle Blanco,American,Caucasian,"February 26, 1999",2020,B,32B,81,66 cm,91 cm,64 kg,177 cm
Agatha Vega,Unknown,Venezuelan,Latin,"October 31, 1997",2020,C,34C,86,60 cm,91 cm,53 kg,162 cm
Britney Dutch,Unknown,Dutch,Caucasian,"October 4, 2004",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,Unknown
Aubree Valentine,Kenadie Iverson,American,Caucasian,"April 19, 1998",2019,B,32B,81,60 cm,86 cm,49 kg,154 cm
Alex Grey,"Alexandra Brooke Cavedo, Alex Gray",American,Caucasian,"April 20, 1996",2015,B,32B,81,55 cm,81 cm,44 kg,157 cm
Vanessa Alessia,Unknown,Czech,Caucasian,"February 20, 2004",2022,B,34B,86,60 cm,83 cm,46 kg,167 cm
Mila Azul,Milla,Ukrainian,Caucasian,"January 12, 1997",2016,D,36D,91,58 cm,88 cm,56 kg,172 cm
Codi Vore,Unknown,American,Caucasian,"May 18, 1995",2016,DD,28DD,71,71 cm,101 cm,64 kg,154 cm
Richelle Ryan,Angela Hoad,American,Caucasian,"July 11, 1985",2006,F,34F,86,63 cm,91 cm,56 kg,162 cm
Kayley Gunner,Unknown,American,Caucasian,"January 9, 1997",2020,DD,36DD,91,68 cm,96 cm,63 kg,162 cm
Luna Luxe,Unknown,American,Mixed,"March 4, 2002",2023,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,152 cm
Shelena,Elena Rizza,Italian,Caucasian,"March 5, 2000",2023,C,37C,93,63 cm,88 cm,54 kg,162 cm
Katerina Hartlova,"Katerina B, Katarina Dubrova, Kathy Kozy, Kathy Heinz, Katrina Hart, Katarina Angel, Katarina Hartlova, Katrin Kozy, Katarina Kozy, Kateoina DusbabovÃ¡",Czech,Caucasian,"September 19, 1985",2008,DD,34DD,86,63 cm,93 cm,51 kg,167 cm
Phoenix Marie,"Phoenix Marizzle, Melissa Hutchison",American,Caucasian,"September 21, 1981",2007,DD,34DD,86,66 cm,96 cm,64 kg,172 cm
Kelsi Monroe,Bianca Brodeur,American,Caucasian,Unknown,2013,B,34B,86,60 cm,93 cm,59 kg,162 cm
Savanah Storm,Savannah Storm,American,Caucasian,"December 20, 1985",2022,E,32E,81,63 cm,91 cm,52 kg,157 cm
Dakota Doll,Dakota S18,Latvian,Caucasian,"April 10, 2006",2024,C,13C,33,25 cm,33 cm,49 kg,152 cm
Zazie Skymm,"Mikki Galante, Naomi Diaz, Zazie Sky, Azazai",Hungarian,Caucasian,"October 18, 1994",2015,B,32B,81,58 cm,86 cm,51 kg,162 cm
Clea Gaultier,Cléa Gaultier,French,Caucasian,"October 25, 1990",2016,E,34E,86,58 cm,88 cm,49 kg,162 cm
Eva Nyx,Unknown,American,Caucasian,"April 22, 2001",2022,C,34C,86,71 cm,101 cm,61 kg,154 cm
Alaina Dawson,"Alaina Dawsons, Alina Dawson, Kiki",Unknown,Caucasian,Unknown,Unknown,A,34A,86,60 cm,86 cm,48 kg,160 cm
Mckenzie Lee,"McKinzie Lee, Paula McQuone",Unknown,Caucasian,"May 16, 1979",1998,DD,32DD,81,66 cm,81 cm,48 kg,162 cm
Nata Ocean,nata gold,Latvian,Caucasian,"June 19, 1999",2018,B,34B,86,60 cm,81 cm,48 kg,157 cm
Katerina Deville,Kat DeVille,American,Caucasian,"January 14, 2000",2024,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,149 cm
Elizabeth Skylar,Unknown,American,Caucasian,"July 30, 1990",2023,DD,34DD,86,68 cm,93 cm,56 kg,162 cm
Clara Trinity,Unknown,American,Asian,"August 20, 2001",2020,B,32B,81,55 cm,81 cm,41 kg,152 cm
Ashby Winter,Winter Ashby,Unknown,Caucasian,"April 30, 2002",2023,B,34B,86,63 cm,86 cm,52 kg,165 cm
Blaire Johnson,Unknown,American,Caucasian,Unknown,2023,DD,36DD,91,60 cm,91 cm,58 kg,170 cm
Leah Gotti,Unknown,American,Caucasian,"December 4, 1996",2015,C,34C,86,55 cm,81 cm,54 kg,157 cm
Tanya Tate,Tanya Thomas,Unknown,Caucasian,"March 31, 1979",2008,Unknown,Unknown,Unknown,Unknown,Unknown,56 kg,165 cm
Thea Summers,Unknown,American,Caucasian,"May 14, 2004",2024,A,32A,81,60 cm,86 cm,49 kg,162 cm
Kylie Shay,Lilly May,American,Caucasian,2002,2022,D,36D,91,66 cm,93 cm,49 kg,144 cm
Alexis Crystal,"Dominika Pangracova, Alexis Chrystal, Kitty Cat",Czech,Caucasian,"July 21, 1993",2011,B,34B,86,63 cm,88 cm,51 kg,167 cm
Kenzie Reeves,Ava Cumz,American,Caucasian,"July 7, 1997",2017,B,32B,81,55 cm,81 cm,41 kg,147 cm
Polly Yangs,"Erica, Erika Mori, Dusya Ulet, Polly Yang",Russian,Caucasian,"August 11, 2004",2023,C,34C,86,66 cm,91 cm,54 kg,165 cm
Lana Rhoades,"Lana Rhodes, Lana Rhoads, Amara Lynee Maple",American,Caucasian,"September 6, 1996",2016,D,34D,86,58 cm,88 cm,54 kg,160 cm
Ariana Marie,Adriana Marie,American,Caucasian,"March 15, 1993",2013,C,32C,81,58 cm,86 cm,43 kg,160 cm
Alexia Anders,Unknown,American,Asian,"August 24, 1998",2020,C,32C,81,60 cm,76 cm,51 kg,157 cm
Joanna Angel,Unknown,American,Caucasian,"December 25, 1980",2002,DDD,32DDD,81,60 cm,86 cm,43 kg,149 cm
Isabella Nice,Unknown,Unknown,Latin,"January 11, 1998",2017,B,32B,81,66 cm,81 cm,44 kg,149 cm
Liv Revamped,Liv Aguilera,American,Latin,"September 4, 1991",2011,B,33B,83,58 cm,86 cm,44 kg,152 cm
Slimthick Vic,"Slim Thick Vic, Vic Marie",Russian,Caucasian,"October 23, 1991",2021,DD,34DD,86,68 cm,88 cm,56 kg,160 cm
Nicole Murkovski,"Louise Roche, Flexy Viki",Russian,Caucasian,"December 11, 2004",2023,C,34C,86,66 cm,91 cm,54 kg,164 cm
Alexis Malone,"Ivy Alexiss, Gloranna Malone, Alexis Moon",American,Caucasian,"June 29, 1979",2001,DD,34DD,86,63 cm,91 cm,56 kg,167 cm
Jessie Rogers,"Jessie Cakes, Jessi Rogers, Jessie Pinkman",Brazilian,Latin,Unknown,2011,DDD,34DDD,86,63 cm,93 cm,54 kg,167 cm
Dan Dangler,Unknown,American,Caucasian,"November 5, 1995",2023,E,34E,86,Unknown,Unknown,Unknown,162 cm
Asa Akira,"Akira Lee, Tracy Han, Asa Takigami",American,Asian,"January 3, 1985",2006,C,32C,81,60 cm,83 cm,48 kg,157 cm
Penny Pax,Unknown,American,Caucasian,"February 18, 1989",2011,D,34D,86,60 cm,88 cm,46 kg,149 cm
Tru Kait,Unknown,American,Latin,"September 11, 1997",2019,C,34C,86,63 cm,96 cm,51 kg,157 cm
Jynx Maze,"Stephanie Nelson, Victoria Stephanie Elson, Victoria Elson",American,Latin,"October 6, 1990",2010,C,32C,81,60 cm,91 cm,49 kg,154 cm
Ellie Tay,Ellie Taylor,Unknown,Unknown,"February 16, 1985",2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Vanessa Marie,Unknown,Unknown,Latin,"October 18, 2003",2024,B,34B,86,Unknown,Unknown,49 kg,152 cm
Lena Anderson,"Sloan Kendricks, Jordan West, Blaire Ivory",American,Caucasian,"January 28, 1998",2016,B,32B,81,63 cm,91 cm,54 kg,182 cm
Aria Sloane,Unknown,American,Caucasian,"October 6, 1999",2022,DD,32DD,81,63 cm,91 cm,58 kg,175 cm
Queenie Sateen,Unknown,American,Caucasian,"September 4, 1991",2022,E,34E,86,66 cm,91 cm,63 kg,170 cm
Dakota Tyler,Unknown,American,Caucasian,"February 20, 2003",2022,A,30A,76,58 cm,83 cm,44 kg,149 cm
Marina Gold,Unknown,Peruvian,Latin,"October 5, 2002",2020,B,32B,81,66 cm,86 cm,49 kg,157 cm
Summer Renee,Unknown,American,Caucasian,Unknown,2025,Unknown,Unknown,Unknown,Unknown,Unknown,41 kg,147 cm
Sophia Burns,Unknown,American,Caucasian,"May 14, 1997",2021,A,32A,81,63 cm,86 cm,63 kg,167 cm
Nika Venom,Unknown,American,Latin,"February 3, 1996",2019,Unknown,Unknown,86,68 cm,99 cm,62 kg,160 cm
Kaci Kennedy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Summer Vixen,Summer Jones,American,Caucasian,"April 29, 1995",2021,B,32B,81,63 cm,78 cm,47 kg,157 cm
Addyson James,Unknown,American,Caucasian,"September 19, 1979",2023,C,36C,91,71 cm,86 cm,56 kg,162 cm
Ashlyn Angel,"Maddy, Lola Lotus",American,Caucasian,"December 1, 2001",2023,B,34B,86,66 cm,96 cm,52 kg,170 cm
Megan Murkovski,Unknown,Unknown,Caucasian,"March 17, 2003",2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,162 cm
Claire Roos,Unknown,Unknown,Caucasian,"April 17, 2000",2021,C,32C,81,60 cm,81 cm,Unknown,167 cm
Micky Muffin,Unknown,German,Caucasian,January 1995,2023,C,34C,86,Unknown,Unknown,58 kg,167 cm
Bianca Bangs,Unknown,American,Mixed,"February 7, 2001",2022,A,32A,81,66 cm,93 cm,Unknown,162 cm
Martina Smeraldi,Unknown,Italian,Caucasian,"December 6, 1999",2019,B,30B,76,60 cm,88 cm,54 kg,162 cm
Cheerleader Kait,Unknown,Unknown,Caucasian,"April 12, 1997",2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,154 cm
Ryan Reid,Brynlee Braxton,American,Caucasian,"October 27, 1998",2019,B,32B,81,58 cm,86 cm,48 kg,160 cm
Aria Banks,Aria Amore,Unknown,Caucasian,"April 7, 2000",2019,Unknown,Unknown,81,Unknown,Unknown,44 kg,144 cm
Nicole Kitt,Unknown,American,Black,"October 10, 1994",2020,C,34C,86,66 cm,91 cm,Unknown,167 cm
Justine Jakobs,Justine Kennedy,American,Caucasian,"February 14, 1982",2023,DD,34DD,86,Unknown,Unknown,52 kg,160 cm
Jesse Pony,Unknown,American,Caucasian,"July 21, 1996",2020,C,34C,86,60 cm,81 cm,49 kg,154 cm
Kimora Quin,Unknown,American,Asian,"April 10, 2002",2021,C,34C,86,60 cm,86 cm,65 kg,177 cm
Maddy Oreilly,"Maddy O'Riley, Maddy O'Reilly, Maddy O'Reily, Brooke Paige",American,Caucasian,"May 3, 1990",2011,B,34B,86,60 cm,101 cm,57 kg,167 cm
Rachael Cavalli,"Rachel Cavalli, Rachael Cavali, Crystal Nicole",American,Caucasian,"July 8, 1984",2015,DD,36DD,91,66 cm,91 cm,67 kg,172 cm
Jackie Hoff,Bendi Taylor,Unknown,Caucasian,"May 25, 1993",2021,DD,34DD,86,66 cm,76 cm,49 kg,154 cm
Theodora Day,Emma Bradley,American,Caucasian,"July 11, 1996",2021,B,32B,81,66 cm,91 cm,48 kg,154 cm
Syren De Mer,"Syren Demer, Syren Da Mer",Unknown,Caucasian,"June 24, 1969",2006,Unknown,Unknown,Unknown,Unknown,Unknown,56 kg,167 cm
Danae Mari,Unknown,American,Caucasian,"August 9, 1990",2024,DD,32DD,81,66 cm,91 cm,44 kg,154 cm
Bonnie Blue,Unknown,British,Unknown,"May 14, 1999",2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Maya Woulfe,Unknown,American,Caucasian,"June 21, 1996",2020,B,32B,81,60 cm,81 cm,47 kg,157 cm
Reyna Belle,Unknown,American,Latin,"August 4, 2003",2022,D,38D,96,60 cm,91 cm,49 kg,157 cm
Scarlet Chase,Secret Crush,Unknown,Caucasian,"April 9, 1995",2020,D,34D,86,58 cm,60 cm,54 kg,162 cm
Ivi Rein,"Ivy Rein, Tanya",Russian,Caucasian,"February 10, 1994",2019,A,32A,81,60 cm,88 cm,54 kg,162 cm
Blair Williams,Blaire Williams,American,Caucasian,"March 28, 1994",2015,D,36D,91,73 cm,96 cm,65 kg,175 cm
Sonya Blaze,Unknown,Russian,Caucasian,"June 8, 1999",2021,C,34C,86,60 cm,86 cm,49 kg,172 cm
Kama Oxi,Unknown,Ukrainian,Caucasian,"November 18, 2002",2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,157 cm
Jade Kimiko,Unknown,Unknown,Asian,"February 26, 2000",Unknown,A,32A,81,Unknown,Unknown,43 kg,154 cm
Eva Angelina,"Eva Angelica, Angelina Del Mar, Eve Angelina, Eva Evangelina, Nicole Clyne, Eve Angelica",American,Mixed,"March 14, 1985",2003,D,34D,86,60 cm,88 cm,53 kg,160 cm
Spencer Bradley,Miss Spencer Bradley,American,Caucasian,"September 8, 1994",2019,C,34C,86,60 cm,86 cm,46 kg,152 cm
Sydney Paige,Unknown,American,Caucasian,"April 14, 1989",2018,C,36C,91,63 cm,91 cm,56 kg,165 cm
Renee Rose,Unknown,American,Caucasian,"June 14, 2002",2023,B,32B,81,60 cm,86 cm,47 kg,160 cm
Kayla Kayden,"Kayla Lynn, Lacy Spice, Lacy Ann Spice",American,Caucasian,"September 6, 1988",2011,B,32B,81,63 cm,86 cm,44 kg,154 cm
Sumire Mizukawa,"Miri Mizuki, Emiri Momota",Japanese,Asian,"February 3, 1995",2016,D,33D,83,53 cm,88 cm,47 kg,154 cm
Brooklyn Chase,Unknown,American,Caucasian,"March 14, 1985",2012,G,32G,81,63 cm,93 cm,49 kg,154 cm
Princess Alice,Valery Cherry,Unknown,Caucasian,"January 1, 2000",2021,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
